country_code	name	2025	2030	2035	2040	2045	2050	2055	2060	2065	2070	2075	2080	2085	2090	2095	2100
900	WORLD	8254962.614	8733522.269	9218767.063	9682331.792	10134164.418	10587773.914	11052774.676	11529222.442	12012015.418	12495986.834	12982447.172	13478079.013	13988513.727	14515851.231	15055647.057	15600368.927
901	More developed regions	1291298.944	1310916.746	1331412.8	1349196.343	1365471.057	1381999.237	1401146.825	1424414.116	1451677.873	1482112.44	1515351.418	1552094.034	1593319.174	1639624.092	1690587.091	1744952.074
902	Less developed regions	6963663.67	7422605.523	7887354.263	8333135.449	8768693.361	9205774.677	9651627.851	10104808.326	10560337.545	11013874.394	11467095.754	11925984.979	12395194.553	12876227.139	13365059.966	13855416.853
941	Least developed countries	1192970.19	1343276.359	1506084.268	1676124.902	1854497.835	2042474.695	2240137.284	2446173.094	2658568.36	2875463.44	3095919.62	3319577.085	3545944.501	3774349.239	4003745.278	4233050.75
934	Less developed regions, excluding least developed countries	5770693.48	6079329.164	6381269.995	6657010.547	6914195.526	7163299.982	7411490.567	7658635.232	7901769.185	8138410.954	8371176.134	8606407.894	8849250.052	9101877.9	9361314.688	9622366.103
948	Less developed regions, excluding China	5461854.492	5897053.696	6344709.534	6782836.23	7217424.594	7657537.233	8108056.93	8565789.881	9024042.436	9477603.728	9928227.613	10381354.871	10840205.387	11304980.431	11771943.882	12237402.315
1636	Land-locked Developing Countries (LLDC)	600547.752	674001.42	752942.14	835062.675	920588.25	1009608.516	1102008.232	1197042.262	1293761.684	1391150.362	1488620.645	1586085.019	1683441.33	1780325.071	1876247.691	1970751.262
1637	Small Island Developing States (SIDS)	76072.757	80216.641	84259.607	88020.19	91580.827	95050.656	98500.028	101961.956	105402.394	108791.287	112111.35	115410.479	118714.55	122047.326	125410.738	128766.397
1503	High-income countries	1292752.852	1324400.573	1356113.663	1383239.923	1406961.025	1429338.18	1453383.083	1481148.435	1512707.51	1546934.282	1583071.189	1621732.44	1664184.063	1711466.006	1763661.284	1819849.337
1517	Middle-income countries	6068875.223	6390182.514	6708383.179	7002346.407	7280047.651	7552304.457	7825886.525	8100139.466	8371747.814	8638347.669	8902921.723	9171898.079	9450258.244	9739962.199	10037641.826	10337628.238
1502	Upper-middle-income countries	2741087.74	2820165.71	2891376.994	2948886.296	2997158.787	3040067.472	3080151.915	3118763.016	3157070.602	3196061.537	3236927.918	3281782.447	3333091.067	3392222.916	3458132.559	3527330.35
1501	Lower-middle-income countries	3327787.483	3570016.804	3817006.185	4053460.111	4282888.864	4512236.985	4745734.61	4981376.45	5214677.212	5442286.132	5665993.805	5890115.632	6117167.177	6347739.283	6579509.267	6810297.888
1500	Low-income countries	890193.751	1015583.792	1150691.88	1292955.18	1443165.458	1601945.66	1769120.4	1943340.921	2122747.819	2305667.393	2491187.992	2678949.937	2868336.043	3058446.397	3248124.078	3436429.586
