country_code	name	2025	2030	2035	2040	2045	2050	2055	2060	2065	2070	2075	2080	2085	2090	2095	2100
900	World	8158457.2153	8490708.7355	8794956.8055	9064896.7395	9303463.5406	9510724.8711	9677045.2968	9810117.9984	9906895.844	9976954.2118	10018378.3776	10041427.516	10031275.9925	10009350.8801	9963426.8416	9888771.3006
947	Sub-Saharan Africa	1236377.5367	1387719.1391	1546029.9391	1708856.3277	1873925.5226	2038259.0415	2201434.4675	2359282.2438	2508915.5339	2651313.792	2784160.5173	2904637.7715	3009495.0836	3097690.9922	3169707.0327	3226389.5111
1833	Northern Africa and Western Asia	566260.1584	603074.3332	637469.5855	670236.4262	701098.8505	728942.6504	752561.3964	771636.045	786552.0782	798010.3114	806175.8604	811096.5488	813400.3428	813418.4817	808786.5849	802662.9634
921	Central and Southern Asia	2110286.8788	2191817.9028	2258223.2516	2308844.6536	2346813.4086	2365203.0007	2367086.5826	2352172.1166	2322118.043	2277655.7938	2223106.8498	2160387.7597	2089126.9115	2014023.2538	1944039.1914	1862515.8084
1832	Eastern and South-Eastern Asia	2386571.5946	2407121.9635	2412705.7119	2403678.4153	2380673.4443	2344268.2935	2296981.6609	2242096.2572	2183458.6689	2122735.5033	2060358.5612	1996721.9381	1935228.7335	1873850.2416	1815364.6637	1756659.2661
927	Australia/New Zealand	31688.1553	32908.0432	33981.2711	34910.232	35724.7215	36495.7629	37204.7462	37865.8266	38435.0829	38942.7887	39422.177	39854.3009	40261.5076	40705.791	41172.3114	41618.3784
1835	Oceania (excluding Australia and New Zealand)	13340.5115	14319.1995	15265.4853	16155.7475	16995.9739	17745.6204	18405.4419	18973.2217	19418.1221	19773.5176	20022.0909	20192.889	20232.2158	20156.2821	20038.6725	19784.387
1829	Europe and Northern America	1122931.7107	1126194.466	1127180.4036	1125749.0326	1122103.4062	1116105.5224	1108603.9984	1100115.6569	1091414.4841	1083187.3872	1075693.0565	1068820.3298	1063229.0891	1058110.3394	1052879.8632	1047719.6371
903	Africa	1503420.6453	1674712.8953	1853034.999	2035999.7272	2221532.3766	2404416.5733	2585473.5173	2760912.6023	2926535.0893	3081299.6442	3221553.7496	3351960.8156	3464236.7765	3564153.4713	3647446.7581	3706222.0672
935	Asia	4801214.6438	4926231.5157	5023124.9577	5086083.9798	5118084.5551	5123631.2522	5096607.4709	5043754.7973	4967830.1253	4873099.6556	4766553.7787	4650612.176	4524406.9442	4399511.9872	4265887.0156	4135256.8981
908	Europe	744187.229	738055.4724	730103.3992	720908.0757	710782.3421	699617.6761	687083.7588	673605.8256	659917.2445	646763.6227	634840.8053	624586.4737	615736.6384	607780.5723	600478.9914	593128.4343
904	Latin America and the Caribbean	678654.4588	699081.077	714822.3892	725831.7463	732606.6672	735194.2692	733971.4605	728772.921	719827.3726	707360.6295	692543.7198	674778.4462	655180.9939	634222.1822	612929.9492	591168.7779
