country_code	name	1950-1955	1955-1960	1960-1965	1965-1970	1970-1975	1975-1980	1980-1985	1985-1990	1990-1995	1995-2000	2000-2005	2005-2010	2010-2015	2015-2020	last.observed
710	South Africa	47.67	50.21	52.02	53.97	56.5	59.28	61.72	64.82	66.74	62.57	56.55	57.26	64.24	67.14	2018
914	Western Africa	34.64842519	36.6521047	38.82306535	40.77506159	43.12599113	45.72163367	48.02780592	48.9997046	49.53335592	49.50577222	50.5097486	53.49541524	56.01438176	58.37299527	2018
204	Benin	33.91	36.55	39.03	41.87	45.33	48.75	51.08	54.28	56.81	56.66	57.69	59.96	61.36	62.83	2018
854	Burkina Faso	32.03	34.39	36.73	39.19	41.48	44.6	49.54	50.54	50.44	51.25	52.56	55.84	59.26	61.6	2018
132	Cabo Verde	48.61	49.39	50.17	53.34	56.32	61.75	63.64	65.42	67.09	69.41	73.26	74.21	74.95	75.92	2018
384	Cote d'Ivoire	30.12	34.11	39.05	43.14	48.09	51.59	54.04	55.34	54.65	52.36	51.22	53.04	55.92	58.57	2018
270	Gambia	31.44	32.77	34.08	37.07	41.38	45.57	49.57	52.73	54.17	56.23	58.08	60.16	61.64	62.95	2018
288	Ghana	42.41	44.89	47.31	49.17	51.3	52.87	54.25	56.34	58.94	57.8	58.3	61.09	62.73	64.72	2018
324	Guinea	34.24	35.52	36.53	37.26	38.68	41.07	44.26	49.02	52.01	51.82	51.31	56.37	58.39	61.53	2018
624	Guinea-Bissau	37.19	38.66	40.08	41.9	43.44	45.38	47.49	49.09	50.92	52.45	53.79	55.58	58.19	59.71	2018
430	Liberia	35.9	36.79	37.78	40.14	42.97	46.45	48.78	48.43	47.92	52.02	53.85	59.8	62.24	64.97	2018
466	Mali	27.71	28.7	29.54	31.71	35.1	38.62	42.41	45.2	47.35	47.48	50.6	54.65	56.87	59.46	2018
478	Mauritania	40.3	43.56	47.33	50.76	52.9	55.37	57.99	60.41	61.73	62.27	62.77	63.68	64.95	66.18	2018
562	Niger	34.92	35.23	35.72	36.06	36.84	38.34	40.87	42.92	45.7	48.99	52.29	56.23	60.28	62.97	2018
566	Nigeria	35.37	37.3	39.57	41.36	43.37	45.59	47.31	47.22	47.15	47.02	47.79	50.5	52.76	55.08	2018
686	Senegal	36.12	38.22	39.41	39.28	41.9	47.68	52.66	57.62	59.2	58.76	60.55	63.92	67.52	69.42	2018
694	Sierra Leone	29.97	31.86	33.51	35.79	38.41	40.3	41.4	40.37	38.01	38.08	42.71	47.78	52.29	54.85	2018
768	Togo	36.12	39.52	42.92	46.25	49.58	52.62	55.42	57.06	56.63	54.48	54.7	56.45	59.8	61.37	2018
912	Northern Africa	43.17528091	46.98437644	49.78412814	52.47855372	54.65800155	57.83903281	61.6449876	64.74058874	66.64678338	68.48376973	70.0085042	71.73972069	73.016346	74.17793072	2018
12	Algeria	43.54	45.7	48.04	50.27	52.35	55.87	63.04	67.31	69.23	70.98	73.24	75.43	76.71	77.84	2018
818	Egypt	41.64	47.37	50.66	53.27	54.8	58.85	62.2	65.91	67.87	70.43	71.41	72.21	73.05	74.08	2018
434	Libya	37.85	40.21	48.25	54.83	60.44	64.49	67.53	69.41	71.17	72.33	73.25	74.86	74.93	75.74	2018
504	Morocco	47.43	49.21	50.46	52.63	54.55	56.79	61.1	64.67	67.66	69.25	71.39	74.7	76.3	77.54	2018
729	Sudan	45.99	48.53	50.69	52.7	54.54	55.5	55.95	56.63	57.59	59.4	61.47	63.5	65.48	66.8	2018
788	Tunisia	39.9	41.71	44.76	49.44	55.21	60.28	65.91	69.07	72.75	75.11	76.3	77.19	77.59	78.46	2018
732	Western Sahara	37.1	39.1	41	43	45.1	49.42	53.73	58.05	60.55	63.05	65.83	68.1	70.3	71.87	2018
922	Western Asia	45.43387193	48.50011018	51.68364994	55.24296396	58.81480656	62.31076253	65.69330761	68.23154563	70.25451632	72.10126395	73.58727055	75.17565095	76.28649034	77.23037811	2018
51	Armenia	65.94	68.01	70.1	72.16	73.64	73.56	73.83	70.76	71.54	73.41	75.33	75.84	77.03	78.3	2018
31	Azerbaijan	61.5	63.5	64.7	65.85	66.79	67.21	67.69	68.59	69.03	69.84	70.28	73.35	74.55	75.26	2018
48	Bahrain	47.03	52.25	58.54	63.82	67.68	70.31	72.1	73.18	74.09	75	75.85	76.7	77.46	78.22	2018
196	Cyprus	68.72	70.75	72.47	73.94	75.21	76.33	77.32	78.2	79.01	79.75	80.45	81.1	82.17	82.84	2018
268	Georgia	64.42	66.38	68.35	70.32	71.79	73.26	73.23	74.04	73.82	73.4	74.05	75.32	76.76	77.92	2018
368	Iraq	38.88	44.8	50.27	55.93	59.51	62.11	65.85	68.32	70.46	71.87	71.06	71.33	71.64	72.42	2018
376	Israel	70.31	71.52	72.5	73.35	74.22	75.22	76.38	77.77	79.04	80.31	81.58	82.77	83.66	84.32	2018
400	Jordan	45.91	50.67	55.09	59.28	63.04	66.35	68.76	70.64	71.91	72.77	73.75	74.63	75.52	76.09	2018
414	Kuwait	54.96	58.93	62.88	66.24	68.57	70.42	72.04	73.04	73.7	74.12	74.49	74.92	75.92	76.38	2018
422	Lebanon	62.17	64.22	65.83	67.17	68.55	69.43	70.12	71.26	72.54	74.81	77.44	79.73	80.61	80.77	2018
512	Oman	36.5	41.25	45.64	49.65	53.48	58.91	63.72	67.61	70.65	73.28	75.54	77.51	78.7	80.05	2018
634	Qatar	57.98	61.63	65.01	68.38	71.18	73.34	74.93	76.25	77.45	78.43	79.36	80.29	81.13	81.8	2018
682	Saudi Arabia	44.09	46.55	49.09	52.32	57.51	62.39	66.47	69.53	72.22	73.95	74.71	75.07	76.01	76.51	2018
275	State of Palestine	48.85	50.43	52.83	56.07	59.33	61.93	65.55	68.34	70.38	71.92	73.14	74.17	74.88	75.5	2018
760	Syrian Arab Republic	49.02	51.9	54.95	58.27	62.17	65.54	68.48	71.1	72.95	74.56	75.93	77.27	76.29	77.66	2018
792	Turkey	44.15	46.81	50.16	53.47	56.73	60.32	63.87	66.7	69.39	72.51	74.89	76.91	78.69	80.23	2018
784	United Arab Emirates	47	51.69	56.27	61.06	65.53	68.86	71.2	72.8	74.04	75.13	76.31	77.29	78.23	79.09	2018
887	Yemen	30.44	30.86	31.8	35.6	40.88	46.64	53.09	57.56	59.68	61.09	63.65	66.35	67.7	67.73	2018
5500	Central Asia	58.53287809	60.41769926	62.36032258	64.2337228	65.74528467	66.80939592	68.06101945	69.31561689	68.44514271	68.15179659	69.80643382	71.51993729	72.92757754	74.71511379	2018
398	Kazakhstan	60.69	62.74	64.78	66.84	68.37	69.42	71	72.25	70.3	68.95	70.42	71.9	73.87	77.35	2018
417	Kyrgyzstan	57.24	59.38	61.52	63.66	65.3	66.45	68.1	69.79	70.25	69.99	70.95	71.72	74.29	75.36	2018
762	Tajikistan	49.69	51.35	52.98	54.59	56.66	58.52	59.29	61.82	60.97	62	66.23	70.06	71.84	73.05	2018
795	Turkmenistan	55.07	57.11	59.14	61.18	62.72	63.76	65.29	66.28	66.64	67.34	68.23	69.59	70.76	71.5	2018
860	Uzbekistan	59.87	61.58	63.33	65.11	66.47	67.43	68.5	69.4	69.37	69.91	71.01	72.21	72.68	73.63	2018
5501	Southern Asia	36.67213129	39.72958473	42.83102399	46.07569813	48.9338314	52.70999023	55.38017153	57.50566954	60.19864449	62.75445988	64.90137832	66.92122867	69.24802872	70.7424559	2018
4	Afghanistan	29.43	31.97	34.64	37.06	39.67	42.58	45.96	49.66	53.09	55.93	58.29	61.02	63.79	65.81	2018
50	Bangladesh	39.91	43.14	45.9	47.91	45	51	53.43	56.55	60.06	64.39	67.34	69.99	72.38	74.11	2018
64	Bhutan	32.71	34.23	36.07	38.82	41.72	44.19	47.81	51.33	55.07	58.77	63.47	67.29	69.61	71.62	2018
356	India	36.22	39.07	42.06	45.36	48.88	52.49	55.07	56.92	59.64	62.25	64.34	66.43	68.95	70.53	2018
364	Iran (Islamic Republic of)	39.06	42.46	45.83	49.2	52.84	57.22	61.3	64.8	67.54	69.9	72.33	74.55	76.18	77.56	2018
462	Maldives	34.76	36.24	38.85	42.08	45.65	49.74	54.38	58.41	64.21	69.06	73.33	76.15	78.45	80.36	2018
524	Nepal	34.58	34.97	36.56	39.48	42.44	45.36	48.87	52.76	57.27	61.45	65.02	67.82	70.03	71.72	2018
586	Pakistan	37.75	43.04	47.6	51.2	53.98	56.3	58.29	60.09	61.56	62.97	64.35	65.45	66.99	68	2018
144	Sri Lanka	56.8	61.05	63.09	65.2	67.2	68.89	71.72	72.66	73.5	72.83	77.64	78.51	79.31	80.05	2018
906	Eastern Asia	47.13945015	48.53366853	48.66365399	59.26681719	64.60602082	68.20125945	70.55534486	71.80451213	72.93163343	74.18937802	75.67114123	77.24239576	78.93999831	80.35203823	2018
156	China	45.29	46.1	45.92	57.48	63.18	66.9	69.3	70.52	71.49	72.77	74.09	75.67	77.45	78.97	2018
344	China, Hong Kong SAR	66.39	69.11	72.15	74.07	75.94	76.87	78.57	79.75	80.93	82.89	84.45	85.49	86.4	87.53	2018
446	China, Macao SAR	62.36	65.07	67.68	69.99	72.67	75.08	76.87	78.61	80.44	82.15	83.6	84.88	86.19	86.97	2018
158	China, Taiwan Province of China	60.01	65.63	67.73	69.61	72.12	73.63	74.83	76.1	77.35	78.32	80.01	81.5	82.3	83.01	2018
408	Dem. People's Rep. of Korea	43.16	52.54	54.55	60.06	64.59	67.86	69.83	71.33	73.31	67.39	71.46	71.75	74.1	75.42	2018
392	Japan	64.61	68.65	71.69	74.05	75.9	77.96	79.7	81.32	82.41	83.73	85.16	85.98	86.47	87.47	2018
496	Mongolia	44.91	48.48	52.85	56.13	58.79	59.25	59.73	61.99	63.53	64.29	67.74	70.27	72.7	73.82	2018
