country_code	name	1950-1955	1955-1960	1960-1965	1965-1970	1970-1975	1975-1980	1980-1985	1985-1990	1990-1995	1995-2000	2000-2005	2005-2010	2010-2015	2015-2020	last.observed
900	World	45.49095024	47.77738742	49.54564375	53.53160614	56.17309573	58.20872821	59.84570071	61.54087528	62.23692564	63.29242429	64.808188	66.65646263	68.52914217	69.9231584	2018
947	Sub-Saharan Africa	35.03166265	37.2629996	39.49240008	41.45134981	43.4860387	45.51939656	47.08143809	48.00460076	47.39776241	47.67401399	49.05035186	52.56435858	56.19942379	58.76821772	2018
1833	Northern Africa and Western Asia	41.01243229	44.33900811	47.44984097	50.4525742	53.04994701	56.1874177	58.59670445	61.76714729	63.58247445	65.4573015	67.26472175	68.78343167	70.0822213	71.29067929	2018
921	Central and Southern Asia	38.28502914	41.50815859	44.58439513	47.52675112	50.00693442	52.91940296	54.54029859	56.74193088	59.10453052	61.06012173	63.00387489	64.84147654	66.79553207	68.17528475	2018
1832	Eastern and South-Eastern Asia	43.72763437	45.28937338	46.3232497	54.30353139	59.23560144	62.18523676	64.75481988	66.34161777	66.91627914	68.03240753	69.75993873	71.1060945	72.33153491	73.68466506	2018
1830	Latin America and the Caribbean	49.68954627	52.42584435	54.73554739	56.71430827	58.80360803	60.67929038	62.39971656	64.09408231	65.82933406	67.45310147	69.00776942	70.19811361	71.19424101	72.02364841	2018
927	Australia/New Zealand	66.89166982	67.66896552	67.9174358	67.73787337	68.49372436	70.03254751	71.55461746	72.75744267	74.51390037	75.84424378	77.63711946	79.0327083	80.15399138	81.05616372	2018
1835	Oceania (excluding Australia and New Zealand)	37.55745577	41.5168915	44.31701371	47.5920569	50.65553747	53.66600372	55.87086657	57.31825174	58.69881627	59.84902857	60.98104091	62.26166227	63.53870356	64.8545509	2018
1829	Europe and Northern America	62.2613302	64.87186712	66.28010285	66.66512994	67.13205269	67.690663	68.41989946	69.63606745	69.50809893	70.2046555	71.0185021	72.60096225	74.52627933	75.43746021	2018
903	Africa	36.28184034	38.75986451	41.12595893	43.17613703	45.19418665	47.38532377	49.225796	50.48246248	50.17281849	50.59740674	51.95815022	55.24592412	58.58242593	60.89549055	2018
935	Asia	41.48035942	43.67264392	45.61771655	51.5443089	55.31010899	57.97912133	59.99326499	62.03024593	63.34660942	64.80395802	66.6483493	68.21747415	69.80003103	71.19712127	2018
908	Europe	60.98619771	64.20201341	66.02894881	66.56806996	66.8929617	67.05199959	67.57035262	68.95190486	68.45554752	68.91386884	69.605183	71.32095174	73.6031956	74.94852284	2018
904	Latin America and the Caribbean	49.68954627	52.42584435	54.73554739	56.71430827	58.80360803	60.67929038	62.39971656	64.09408231	65.82933406	67.45310147	69.00776942	70.19811361	71.19424101	72.02364841	2018
905	Northern America	65.90686806	66.65954474	66.94150362	66.94972778	67.85700959	69.60929057	70.92067138	71.57159361	72.46167959	73.75626625	74.79500914	75.93411405	76.83385529	76.68762117	2018
909	Oceania	56.98158914	59.60532487	60.91140629	61.91297224	63.46644517	65.24091204	66.91139635	68.21937336	69.87157511	71.04246395	72.59366292	74.08650155	75.3550602	76.46403196	2018
901	More developed regions	62.20631067	64.84919603	66.35282129	66.90746597	67.52347104	68.23441367	69.04207034	70.27936944	70.28685168	71.0254866	71.89252988	73.41262643	75.22260208	76.15765201	2018
902	Less developed regions	40.75363418	43.0891649	45.18108662	50.31779753	53.64036237	56.10245937	57.99734969	59.83283032	60.77746494	61.93306946	63.5485798	65.33810039	67.14989101	68.63435854	2018
941	Least developed countries	35.31562502	37.7940828	40.02475686	42.17362095	43.22721403	44.515809	47.68531227	49.48391061	50.08663713	52.13608691	54.60767408	57.79892986	60.73565273	62.813356	2018
934	Other less developed countries	41.55320541	43.86859073	45.94483125	51.54330023	55.29544172	58.04282837	59.78251262	61.62518688	62.73486054	63.82688466	65.32443539	66.87454162	68.48157489	69.86823332	2018
948	Less developed regions, excluding China	39.95987101	43.34167076	46.21389503	48.83825674	50.99632915	53.2984297	55.2718559	57.16101209	58.57577212	59.8743556	61.45987475	63.48836409	65.54128308	67.04786009	2018
