country_code	name	1950-1955	1955-1960	1960-1965	1965-1970	1970-1975	1975-1980	1980-1985	1985-1990	1990-1995	1995-2000	2000-2005	2005-2010	2010-2015	2015-2020	last.observed
900	World	4.967375689	4.897248432	5.018107938	4.926341625	4.471131111	3.860744866	3.588277325	3.438576015	3.005020096	2.776534174	2.651326672	2.584241968	2.517075411	2.468109072	2018
947	Sub-Saharan Africa	6.509866836	6.553572997	6.636147671	6.681739125	6.764619226	6.77536124	6.720904252	6.518413992	6.165392679	5.883954738	5.639386697	5.403984015	5.096561758	4.724976364	2018
1833	Northern Africa and Western Asia	6.569985935	6.528482005	6.55075013	6.418496364	6.133708578	5.753087196	5.344864218	4.761118651	4.121424884	3.567348071	3.197512749	3.066585569	3.086672571	2.933364619	2018
921	Central and Southern Asia	5.996875313	6.032934246	6.050142913	5.903665187	5.636699399	5.270347121	4.983856656	4.542837961	4.032647124	3.601109194	3.209523437	2.870945044	2.540364195	2.409098297	2018
1832	Eastern and South-Eastern Asia	5.692837271	5.275141164	5.617266543	5.639976899	4.659610648	3.30106249	2.83152252	2.810320146	2.116671887	1.869466017	1.816444436	1.816357677	1.838809993	1.834053025	2018
1830	Latin America and the Caribbean	5.832351314	5.85109216	5.833243287	5.459576975	4.920342999	4.435634409	3.937952696	3.453098623	3.076794155	2.772077444	2.488215246	2.25976444	2.138235313	2.044660431	2018
927	Australia/New Zealand	3.273863736	3.529205859	3.380707388	2.956876374	2.590121015	2.023216441	1.92162786	1.889180584	1.897879666	1.815181946	1.804291674	1.984994729	1.910457902	1.844388105	2018
1835	Oceania (excluding Australia and New Zealand)	6.340068036	6.390581872	6.305274928	6.055661312	5.793980148	5.504693842	5.12417997	4.6809686	4.414802353	4.282948048	4.052588412	3.852650158	3.646637336	3.45687894	2018
1829	Europe and Northern America	2.803621026	2.866121758	2.737717757	2.423003776	2.138056582	1.918653058	1.850592198	1.832145143	1.695351538	1.584358402	1.600743986	1.700290553	1.684148001	1.662549467	2018
903	Africa	6.573231064	6.62461395	6.699267094	6.705966437	6.702987588	6.639629118	6.500986417	6.186857892	5.723811514	5.350802775	5.077068427	4.899950902	4.730118225	4.438374895	2018
935	Asia	5.830638289	5.590543634	5.796636327	5.745010551	5.056186799	4.097328409	3.688990235	3.496632471	2.895892299	2.607117373	2.446748476	2.328109643	2.209790216	2.151942002	2018
908	Europe	2.663844934	2.662661182	2.568962153	2.369604122	2.172404903	1.976807413	1.877969871	1.811457918	1.570812954	1.429775339	1.432547622	1.557200406	1.600935738	1.609646027	2018
904	Latin America and the Caribbean	5.832351314	5.85109216	5.833243287	5.459576975	4.920342999	4.435634409	3.937952696	3.453098623	3.076794155	2.772077444	2.488215246	2.25976444	2.138235313	2.044660431	2018
905	Northern America	3.3362855	3.607734917	3.275098249	2.550427328	2.024442277	1.767927353	1.787088446	1.88499682	1.996936145	1.954045619	1.99103174	2.014921181	1.848948358	1.75268862	2018
909	Oceania	3.8885597	4.095422533	3.970220567	3.588912222	3.249624469	2.763293401	2.62783807	2.533966104	2.518169363	2.479463587	2.458200271	2.540701518	2.435574281	2.357006916	2018
