country_code	name	2020-2025	2025-2030	2030-2035	2035-2040	2040-2045	2045-2050	2050-2055	2055-2060	2060-2065	2065-2070	2070-2075	2075-2080	2080-2085	2085-2090	2090-2095	2095-2100
900	World	70.3308	70.8916	71.4722	71.9931	72.519	73.0432	73.5438	74.0228	74.486	74.9175	75.3728	75.7816	76.2095	76.6048	77.0223	77.4504
947	Sub-Saharan Africa	59.6319	60.6326	61.5592	62.4112	63.2022	63.9482	64.5703	65.1995	65.8014	66.3639	66.9395	67.4759	68.0013	68.483	68.9417	69.4893
1833	Northern Africa and Western Asia	71.8791	72.462	73.028	73.5679	74.1331	74.6481	75.1569	75.5884	76.0018	76.4162	76.7814	77.1876	77.5931	77.9549	78.4069	78.7824
921	Central and Southern Asia	68.2874	68.4451	68.6821	68.9801	69.3639	69.6973	70.0797	70.4067	70.7425	71.1574	71.5339	71.887	72.2676	72.6732	73.0716	73.4834
1832	Eastern and South-Eastern Asia	73.7116	73.8521	74.1031	74.4067	74.7891	75.1959	75.6342	76.1314	76.7064	77.2499	77.8052	78.4362	78.9238	79.4851	80.0903	80.6789
1830	Latin America and the Caribbean	72.3689	72.9893	73.7298	74.4593	75.2019	75.9705	76.7615	77.5462	78.2404	78.9683	79.6238	80.2672	80.8504	81.4548	81.9901	82.512
927	Australia/New Zealand	80.472	80.7094	81.1562	81.5012	81.8522	82.1492	82.4902	82.8769	83.1168	83.4541	83.8209	84.0575	84.3873	84.73	85.0132	85.2854
1835	Oceania (excluding Australia and New Zealand)	64.8752	64.8699	64.9652	65.011	65.0644	65.1592	65.3109	65.4308	65.6494	65.8518	66.0711	66.2444	66.4708	66.7475	66.9594	67.2503
1829	Europe and Northern America	75.5139	76.0189	76.7938	77.3812	77.9976	78.5831	79.1787	79.7929	80.3633	80.9832	81.5631	82.1283	82.6267	83.1682	83.673	84.1586
903	Africa	61.6848	62.6004	63.4724	64.2622	65.0037	65.6984	66.299	66.8831	67.4342	67.9373	68.4442	68.9308	69.4225	69.9292	70.3655	70.8593
935	Asia	71.3806	71.75	72.2038	72.6114	73.0902	73.5627	74.0322	74.5432	75.0388	75.5017	75.9964	76.4983	76.9856	77.4522	77.9394	78.4274
908	Europe	75.3818	76.0157	76.6758	77.3437	77.9613	78.5544	79.1572	79.7293	80.3703	80.9506	81.5612	82.1944	82.7065	83.2439	83.712	84.2609
904	Latin America and the Caribbean	72.3689	72.9893	73.7298	74.4593	75.2019	75.9705	76.7615	77.5462	78.2404	78.9683	79.6238	80.2672	80.8504	81.4548	81.9901	82.512
905	Northern America	75.2805	75.1213	75.8145	75.9353	76.3701	76.8538	77.2406	77.7328	78.1082	78.541	79.159	79.5641	79.9887	80.4463	81.0069	81.48
909	Oceania	76.0987	76.2957	76.5851	76.7316	76.9442	77.2208	77.4465	77.6633	77.8305	78.1133	78.3765	78.5897	78.834	79.1496	79.4331	79.6922
901	More developed regions	76.2558	76.7729	77.5168	78.0839	78.678	79.2516	79.8357	80.4275	80.9955	81.5847	82.1641	82.7278	83.2426	83.7488	84.2356	84.7295
902	Less developed regions	69.036	69.579	70.1639	70.6901	71.2513	71.7853	72.3051	72.7973	73.2886	73.7334	74.2132	74.6549	75.0733	75.4741	75.9165	76.3533
941	Least developed countries	63.5979	64.4939	65.3367	66.0908	66.7985	67.4509	68.0531	68.597	69.1485	69.6676	70.1511	70.6416	71.1567	71.6091	72.0929	72.5811
934	Less developed regions, excluding least developed countries	70.1279	70.5646	71.0766	71.5386	72.0166	72.542	73.0468	73.5309	73.9526	74.4309	74.8678	75.2653	75.6347	76.0387	76.4704	76.7838
948	Less developed regions, excluding China	67.6088	68.2202	68.8614	69.4522	70.0471	70.6034	71.1366	71.6015	72.0752	72.5304	72.9611	73.4072	73.8397	74.2849	74.6977	75.1898
1636	Land-locked Developing Countries (LLDC)	63.7355	64.6112	65.3953	66.132	66.8161	67.4318	67.9953	68.5703	69.0748	69.6158	70.1324	70.6191	71.1684	71.6927	72.1957	72.784
1637	Small Island Developing States (SIDS)	70.1094	70.6152	71.1848	71.6658	72.0604	72.4635	72.8239	73.1536	73.4913	73.8072	74.1169	74.3932	74.6892	74.8847	75.1238	75.4399
1503	High-income countries	78.2667	78.7534	79.4397	79.9378	80.4765	80.9789	81.4703	81.9972	82.4733	82.9752	83.4757	83.9454	84.4306	84.884	85.376	85.8524
1517	Middle-income countries	69.5119	69.9907	70.5242	71.031	71.5612	72.0956	72.6189	73.1537	73.6078	74.0746	74.5706	74.9445	75.3615	75.7594	76.1714	76.5622
1502	Upper-middle-income countries	73.0282	73.4088	73.8453	74.3721	74.8744	75.4137	76.045	76.677	77.3708	78.0002	78.6079	79.2152	79.7366	80.3289	80.9227	81.492
1501	Lower-middle-income countries	66.628	66.9891	67.4159	67.856	68.3046	68.7545	69.2	69.5991	70.0075	70.4303	70.8748	71.2684	71.6918	72.0662	72.4946	72.9305
1500	Low-income countries	62.4414	63.5033	64.3904	65.1816	65.9239	66.5769	67.179	67.7555	68.2798	68.7695	69.2805	69.788	70.2922	70.8102	71.3233	71.8705
1518	No income group available	76.3273	76.7617	77.1953	77.5017	77.7964	78.0549	78.3365	78.65	79.0622	79.5128	79.9879	80.5232	81.0423	81.4771	81.9646	82.4604
910	Eastern Africa	62.8768	63.8101	64.6763	65.4674	66.1722	66.8354	67.4202	68.0025	68.5909	69.1778	69.7605	70.3812	70.9353	71.5643	72.1857	72.8387
