country_code	name	age	1950-1955	1955-1960	1960-1965	1965-1970	1970-1975	1975-1980	1980-1985	1985-1990	1990-1995	1995-2000	2000-2005	2005-2010	2010-2015	2015-2020	2020-2025	2025-2030	2030-2035	2035-2040	2040-2045	2045-2050	2050-2055	2055-2060	2060-2065	2065-2070	2070-2075	2075-2080	2080-2085	2085-2090	2090-2095	2095-2100
900	World	15-19	8.71052	8.68647	8.44573	8.15221	8.30987	9.18076	9.57682	9.96586	10.78375	10.74231	10.00548	9.5154	9.27695	8.61737	8.25048	7.9056	7.69489	7.51103	7.33435	7.10896	6.8478	6.56892	6.27535	5.97497	5.66896	5.35569	5.0411	4.73207	4.44065	4.18362
900	World	20-24	23.62801	24.04581	24.39891	24.6868	25.35816	26.57479	28.42382	29.87611	29.74604	29.94327	29.79856	29.17149	28.38402	27.28699	26.39239	25.24106	24.38095	23.66028	22.99929	22.37212	21.76851	21.19344	20.62607	20.03985	19.43845	18.82836	18.20242	17.55175	16.87173	16.16401
900	World	25-29	25.20176	25.42407	25.59111	26.1573	26.96427	27.52606	28.4095	27.54129	27.62783	27.72049	28.1118	28.31673	28.20942	28.64963	28.96286	29.05421	29.08047	28.98983	28.87716	28.81952	28.78277	28.75013	28.71567	28.66497	28.58828	28.49239	28.37507	28.23408	28.05834	27.8402
900	World	30-34	20.16271	19.96561	20.16079	20.2048	19.69646	18.8989	17.43474	17.63476	17.53077	17.55377	18.37455	19.16641	19.79877	20.33084	20.91148	21.76197	22.229	22.70904	23.1158	23.49398	23.92556	24.41955	24.95464	25.50829	26.08154	26.67439	27.28795	27.92059	28.55696	29.18257
900	World	35-39	14.06844	13.81624	13.65483	13.30482	12.59661	11.28703	10.22917	9.59401	9.32537	9.33194	9.31522	9.61733	10.20052	10.75012	10.94154	11.38302	11.8328	12.21153	12.60828	13.01631	13.38805	13.7427	14.13929	14.58372	15.0606	15.55862	16.07705	16.62237	17.20282	17.81407
900	World	40-44	6.63019	6.53967	6.30447	6.0771	5.6901	5.13625	4.61552	4.19595	3.90181	3.69549	3.47143	3.34169	3.34594	3.59908	3.77118	3.88879	4.04743	4.18776	4.31422	4.43217	4.53624	4.58383	4.56292	4.52432	4.48282	4.44079	4.39952	4.3595	4.33045	4.31828
900	World	45-49	1.59838	1.52213	1.44416	1.41697	1.38454	1.3962	1.31042	1.19201	1.08442	1.01273	0.92297	0.87095	0.78438	0.76597	0.77007	0.76535	0.73446	0.73052	0.7509	0.75696	0.75107	0.74143	0.72607	0.70388	0.67934	0.64976	0.6169	0.57964	0.53904	0.49725
947	Sub-Saharan Africa	15-19	11.78472	11.71905	11.62369	11.49324	11.46855	11.48537	11.3177	11.17344	11.14915	11.26374	11.21001	11.1246	11.10893	11.05209	10.98731	10.84586	10.65265	10.42548	10.16128	9.86186	9.52787	9.16786	8.78658	8.38665	7.97136	7.54238	7.1038	6.66084	6.21549	5.77286
947	Sub-Saharan Africa	20-24	21.76641	21.66314	21.55652	21.54275	21.50817	21.3413	21.22563	21.21665	21.3123	21.48258	21.53329	21.71172	22.04134	22.30223	22.54154	22.69523	22.76701	22.77916	22.73798	22.64644	22.50994	22.32687	22.09812	21.8219	21.49885	21.12983	20.71731	20.26002	19.75785	19.2115
947	Sub-Saharan Africa	25-29	21.33493	21.34784	21.32289	21.29519	21.36845	21.41536	21.45752	21.60729	21.84877	22.25776	22.51627	22.78803	23.18942	23.57302	23.98519	24.36265	24.71385	25.02672	25.32664	25.62842	25.92279	26.21617	26.49966	26.76905	27.02326	27.26746	27.50008	27.71678	27.91295	28.08431
947	Sub-Saharan Africa	30-34	18.72893	18.79481	18.86721	18.84563	18.82217	18.90976	19.14613	19.32954	19.50237	19.61938	19.81148	19.92791	19.77827	19.71619	19.6437	19.64056	19.68012	19.75017	19.85296	20.01177	20.22222	20.49088	20.81831	21.1989	21.63205	22.12054	22.66914	23.27257	23.93242	24.64445
947	Sub-Saharan Africa	35-39	13.98811	14.12926	14.2958	14.42885	14.50217	14.58605	14.81292	14.88082	14.77772	14.51609	14.43662	14.40695	14.41616	14.38196	14.32971	14.35082	14.41353	14.51902	14.65112	14.79578	14.96491	15.13499	15.32022	15.52896	15.75644	15.99189	16.22923	16.47309	16.72437	16.98409
