country_code	name	2020-2025	2025-2030	2030-2035	2035-2040	2040-2045	2045-2050	2050-2055	2055-2060	2060-2065	2065-2070	2070-2075	2075-2080	2080-2085	2085-2090	2090-2095	2095-2100
900	World	2.5527	2.5691	2.5432	2.5106	2.4833	2.4623	2.4413	2.4143	2.3869	2.36	2.3394	2.3216	2.306	2.2913	2.2758	2.2571
947	Sub-Saharan Africa	4.566	4.3456	4.1312	3.9334	3.7586	3.6026	3.4575	3.3214	3.2061	3.1028	3.0242	2.9446	2.8771	2.806	2.7489	2.6945
1833	Northern Africa and Western Asia	2.9798	2.911	2.8419	2.7776	2.7115	2.659	2.6097	2.5777	2.5464	2.5188	2.4883	2.4625	2.4398	2.4247	2.4134	2.3929
921	Central and Southern Asia	2.5673	2.5633	2.5205	2.4782	2.4303	2.4038	2.3885	2.3625	2.3359	2.2969	2.2715	2.2619	2.2537	2.2431	2.2369	2.211
1832	Eastern and South-Eastern Asia	1.9648	2.018	2.034	2.0406	2.0494	2.059	2.0555	2.0602	2.0567	2.0606	2.0603	2.0704	2.0681	2.0737	2.0757	2.079
1830	Latin America and the Caribbean	2.1511	2.1381	2.1161	2.0885	2.0655	2.0567	2.0442	2.0333	2.0218	2.0092	2.0118	2.0056	2.0122	2.0022	2.0129	2.0147
927	Australia/New Zealand	2.0637	2.0917	2.1027	2.1178	2.1172	2.1209	2.1294	2.1246	2.1236	2.1253	2.1328	2.133	2.1338	2.1368	2.1388	2.1487
1835	Oceania (excluding Australia and New Zealand)	3.61	3.583	3.5339	3.4739	3.4001	3.3338	3.2865	3.2246	3.169	3.1342	3.0902	3.0561	3.0022	2.9676	2.9175	2.8937
1829	Europe and Northern America	1.7677	1.8203	1.8625	1.8879	1.9072	1.9282	1.9496	1.9678	1.9827	1.9858	1.9906	2.0028	2.0112	2.0168	2.0251	2.0241
903	Africa	4.3189	4.1302	3.9446	3.7744	3.6129	3.4794	3.3453	3.2272	3.1187	3.024	2.9511	2.8764	2.8131	2.7517	2.6908	2.6403
935	Asia	2.2724	2.2987	2.2778	2.2441	2.217	2.1995	2.1993	2.182	2.1639	2.138	2.1226	2.1182	2.1148	2.1003	2.0979	2.0792
908	Europe	1.7076	1.7618	1.8083	1.8426	1.8707	1.8908	1.9086	1.9222	1.9344	1.9415	1.9551	1.9632	1.9698	1.9799	1.9837	1.9875
904	Latin America and the Caribbean	2.1511	2.1381	2.1161	2.0885	2.0655	2.0567	2.0442	2.0333	2.0218	2.0092	2.0118	2.0056	2.0122	2.0022	2.0129	2.0147
905	Northern America	1.9369	2.001	2.0384	2.0674	2.0859	2.1156	2.1276	2.1474	2.1555	2.1725	2.1699	2.1762	2.1788	2.1764	2.1917	2.1861
909	Oceania	2.5249	2.5343	2.5292	2.5066	2.4903	2.4741	2.4657	2.4464	2.4254	2.4248	2.3985	2.3907	2.3697	2.3663	2.3549	2.3437
901	More developed regions	1.7412	1.7944	1.8374	1.8646	1.8866	1.9052	1.9264	1.9467	1.9602	1.9659	1.9708	1.981	1.9951	1.9973	2.0067	2.0081
902	Less developed regions	2.6724	2.6786	2.6442	2.6006	2.5637	2.5373	2.51	2.4744	2.4446	2.4135	2.3869	2.3707	2.3519	2.3344	2.3172	2.2939
941	Least developed countries	3.9033	3.7448	3.6002	3.4713	3.3497	3.241	3.1449	3.047	2.9616	2.8901	2.8236	2.7676	2.7131	2.6609	2.6155	2.5778
934	Less developed regions, excluding least developed countries	2.4228	2.4421	2.4218	2.3893	2.3632	2.3465	2.3408	2.3262	2.3095	2.2857	2.2743	2.2699	2.2676	2.2724	2.2703	2.2747
948	Less developed regions, excluding China	2.8786	2.8421	2.7875	2.7263	2.6727	2.6334	2.5925	2.5496	2.5171	2.4741	2.4448	2.4216	2.4042	2.3796	2.3578	2.3319
1636	Land-locked Developing Countries (LLDC)	3.8577	3.6767	3.5144	3.3715	3.2416	3.1161	3.0137	2.9109	2.8391	2.7573	2.6935	2.6416	2.5909	2.5515	2.5156	2.4885
1637	Small Island Developing States (SIDS)	2.5495	2.5331	2.5113	2.4854	2.459	2.4354	2.4107	2.3867	2.3686	2.3591	2.3379	2.33	2.3144	2.3069	2.302	2.2945
1503	High-income countries	1.7716	1.8114	1.8474	1.8679	1.8836	1.9037	1.9201	1.9332	1.9437	1.9525	1.9542	1.963	1.975	1.9796	1.9873	1.9874
1517	Middle-income countries	2.4438	2.4633	2.4383	2.4073	2.3869	2.375	2.3657	2.348	2.335	2.3162	2.3041	2.3011	2.2979	2.2952	2.2942	2.2899
1502	Upper-middle-income countries	2.0001	2.0244	2.0254	2.0242	2.0291	2.0345	2.0394	2.0413	2.0369	2.0333	2.0389	2.0458	2.05	2.0494	2.0533	2.055
1501	Lower-middle-income countries	2.8055	2.7819	2.7423	2.6898	2.6451	2.615	2.5842	2.556	2.5322	2.4968	2.4837	2.4767	2.4662	2.4593	2.4499	2.445
1500	Low-income countries	4.3348	4.0968	3.884	3.6907	3.5233	3.3748	3.2446	3.1241	3.0142	2.9312	2.8455	2.7764	2.711	2.6649	2.6135	2.572
1518	No income group available	2.5798	2.5559	2.5239	2.4756	2.4215	2.3931	2.3645	2.3481	2.3259	2.3021	2.2764	2.255	2.2494	2.2405	2.2251	2.2207
910	Eastern Africa	4.3183	4.1073	3.895	3.6952	3.5367	3.4001	3.2716	3.1595	3.0698	2.9841	2.9084	2.8438	2.7803	2.7234	2.6981	2.6686
108	Burundi	5.4511	5.2856	5.1169	4.9496	4.7726	4.6268	4.5125	4.3835	4.2397	4.1282	4.0254	3.9268	3.8204	3.7346	3.6646	3.5743
174	Comoros	4.3725	4.2821	4.1655	4.0411	3.9364	3.8321	3.7257	3.6255	3.5398	3.4673	3.4123	3.3286	3.2678	3.2154	3.1712	3.1023
262	Djibouti	2.9175	2.8685	2.7872	2.7261	2.6645	2.6265	2.5785	2.5163	2.4556	2.421	2.385	2.3576	2.3267	2.3013	2.2799	2.2603
232	Eritrea	4.2185	4.1077	3.9858	3.8592	3.755	3.6344	3.5524	3.4598	3.3836	3.3082	3.2314	3.1696	3.0953	3.032	2.988	2.9281
231	Ethiopia	4.3069	4.119	3.9273	3.7632	3.6309	3.5021	3.3793	3.2787	3.188	3.0942	3.0157	2.9349	2.8706	2.8228	2.7543	2.6989
404	Kenya	3.6975	3.6494	3.5613	3.4544	3.3694	3.2942	3.2227	3.1479	3.0962	3.0194	2.9706	2.9001	2.8477	2.7951	2.7454	2.6968
