country_code	name	2020-2025	2025-2030	2030-2035	2035-2040	2040-2045	2045-2050	2050-2055	2055-2060	2060-2065	2065-2070	2070-2075	2075-2080	2080-2085	2085-2090	2090-2095	2095-2100
900	World	71.2195	72.2266	73.1683	73.9978	74.7924	75.5313	76.2242	76.8726	77.4809	78.0713	78.6244	79.1522	79.6581	80.1608	80.6621	81.1652
947	Sub-Saharan Africa	60.7905	62.3637	63.7544	65.0302	66.1412	67.1594	68.1113	68.9915	69.8374	70.5997	71.3509	72.1057	72.7943	73.4967	74.2154	74.9346
1833	Northern Africa and Western Asia	72.8551	73.9314	74.8885	75.7491	76.598	77.3926	78.1415	78.8455	79.5165	80.1478	80.7908	81.4196	82.0634	82.6897	83.3273	83.9402
921	Central and Southern Asia	70.3356	71.5656	72.6899	73.7065	74.7066	75.6362	76.5464	77.5377	78.4131	79.2696	80.0803	80.9111	81.6693	82.3961	83.0387	83.6934
1832	Eastern and South-Eastern Asia	75.336	76.4293	77.5133	78.4853	79.4296	80.3115	81.1176	81.8996	82.5999	83.2838	83.9894	84.6401	85.2534	85.9072	86.5501	87.1835
1830	Latin America and the Caribbean	73.4684	74.7218	75.9795	77.11	78.1914	79.2419	80.2186	81.1519	81.979	82.7563	83.4699	84.1447	84.7936	85.4278	86.0141	86.5964
927	Australia/New Zealand	82.6616	83.7065	84.6757	85.4709	86.2502	87.0378	87.84	88.546	89.315	90.0268	90.7275	91.4164	92.1435	92.8389	93.4566	94.1438
1835	Oceania (excluding Australia and New Zealand)	67.1315	68.4061	69.568	70.5149	71.3261	72.1432	72.9253	73.7117	74.4736	75.2247	76.0008	76.8158	77.6442	78.4971	79.4132	80.2358
1829	Europe and Northern America	76.6395	77.7105	78.8556	79.8153	80.7132	81.5423	82.3144	83.0637	83.7941	84.555	85.3025	86.0041	86.6581	87.3131	87.9615	88.6026
903	Africa	62.7136	64.1597	65.4536	66.6029	67.6489	68.5938	69.4727	70.3008	71.0576	71.7913	72.4893	73.1596	73.8203	74.465	75.1311	75.8102
935	Asia	72.7704	73.8492	74.8283	75.7089	76.5886	77.4269	78.2171	79.0102	79.7514	80.4718	81.2165	81.8792	82.5482	83.1817	83.7959	84.4025
908	Europe	76.2816	77.332	78.3191	79.2422	80.1033	80.9061	81.7071	82.4665	83.2099	83.9663	84.7047	85.4115	86.0581	86.7192	87.3196	87.9134
904	Latin America and the Caribbean	73.4684	74.7218	75.9795	77.11	78.1914	79.2419	80.2186	81.1519	81.979	82.7563	83.4699	84.1447	84.7936	85.4278	86.0141	86.5964
905	Northern America	78.1775	79.5081	81.1395	82.21	83.1502	84.046	84.7623	85.5018	86.1933	86.8964	87.5804	88.2161	88.8584	89.4926	90.1781	90.8357
909	Oceania	78.1061	79.0843	79.9295	80.6091	81.2404	81.8587	82.4293	83.0421	83.5929	84.1831	84.7325	85.2885	85.8672	86.4394	87.0923	87.7723
901	More developed regions	77.2958	78.3162	79.3995	80.2909	81.1503	81.9617	82.7077	83.4424	84.1351	84.8588	85.5769	86.2705	86.92	87.5701	88.2036	88.8187
902	Less developed regions	70.0691	71.1387	72.1336	73.007	73.8603	74.6379	75.3609	76.0373	76.6749	77.2655	77.8525	78.3927	78.8918	79.3956	79.9046	80.4315
941	Least developed countries	64.5924	66.01	67.2396	68.3272	69.3174	70.2231	71.0763	71.8321	72.5704	73.2664	73.9585	74.6509	75.2938	75.9379	76.6022	77.2722
934	Less developed regions, excluding least developed countries	71.3422	72.3807	73.3718	74.2436	75.1177	75.9429	76.7208	77.4557	78.1585	78.825	79.4916	80.068	80.6293	81.1775	81.7135	82.2375
948	Less developed regions, excluding China	68.5726	69.6681	70.6807	71.6017	72.4436	73.2689	74.0511	74.766	75.4489	76.0903	76.7085	77.2908	77.8456	78.4091	78.9321	79.4796
1636	Land-locked Developing Countries (LLDC)	64.9132	66.3444	67.5767	68.6766	69.6759	70.6157	71.4627	72.3125	73.1537	73.9694	74.7618	75.5004	76.2152	76.9308	77.6817	78.4179
1637	Small Island Developing States (SIDS)	71.288	72.4441	73.5366	74.3946	75.1962	75.8737	76.5144	77.1547	77.7194	78.2782	78.9014	79.4186	79.9886	80.4734	81.0051	81.5796
1503	High-income countries	79.2965	80.2545	81.246	82.044	82.7784	83.4677	84.1215	84.7692	85.3781	86.0194	86.6483	87.2594	87.8442	88.4359	89.0436	89.6218
1517	Middle-income countries	70.6523	71.7023	72.7119	73.618	74.4979	75.3446	76.1503	76.8872	77.5836	78.2545	78.9175	79.491	80.0544	80.615	81.1403	81.6555
1502	Upper-middle-income countries	74.4539	75.7233	76.8922	78.011	79.067	80.0509	80.9095	81.7075	82.4273	83.1368	83.8134	84.4511	85.0532	85.594	86.1853	86.7826
1501	Lower-middle-income countries	68.0627	69.1622	70.1753	71.0985	71.9792	72.8455	73.7205	74.5372	75.3034	76.0244	76.7621	77.4303	78.0852	78.6616	79.2503	79.8059
1500	Low-income countries	63.5062	65.0908	66.4137	67.5638	68.5964	69.5373	70.4047	71.2348	72.0026	72.7418	73.5022	74.2271	74.9464	75.671	76.3702	77.1085
1518	No income group available	77.7271	78.8445	79.7775	80.5284	81.2283	81.8937	82.5246	83.1482	83.7901	84.4803	85.2035	85.8743	86.5623	87.2224	87.8439	88.4653
910	Eastern Africa	64.2851	65.9371	67.3473	68.601	69.7259	70.7569	71.7182	72.6549	73.5551	74.4749	75.3327	76.218	77.0649	77.8811	78.7274	79.5778
108	Burundi	62.6689	65.029	67.0859	68.8677	70.4245	71.838	73.1165	74.3483	75.5263	76.6712	77.7612	78.8486	79.9379	80.9662	81.9694	82.8665
174	Comoros	64.9299	66.4603	67.7304	68.838	69.824	70.7279	71.6272	72.465	73.3365	74.1754	75.0641	75.9547	76.8679	77.7802	78.7306	79.671
