country_code	name	1950-1955	1955-1960	1960-1965	1965-1970	1970-1975	1975-1980	1980-1985	1985-1990	1990-1995	1995-2000	2000-2005	2005-2010	2010-2015	2015-2020	2020-2025	2025-2030	2030-2035	2035-2040	2040-2045	2045-2050	2050-2055	2055-2060	2060-2065	2065-2070	2070-2075	2075-2080	2080-2085	2085-2090	2090-2095	2095-2100
900	World	0.001	-3.05533e-13	-0.001	-8.52651e-14	-0.002	-0.001	-6.43041e-12	-0.001	1.08002e-12	-1.19371e-12	3.15481e-12	-0.001	0.002	0.004	-0.001	0.001	0.001	-0.001	0.001	4.83169e-13	1.03739e-12	4.83169e-13	1.03739e-12	4.83169e-13	1.03739e-12	4.83169e-13	1.03739e-12	4.83169e-13	1.03739e-12	4.83169e-13
947	Sub-Saharan Africa	-186.573	-344.753	-379.735	-445.482	-572.869	-696.742	-1713.503	-1264.499	-1114.675	-887.3	-954.639	-1344.393	-2484.68	-1565.771	-2130.319	-1642.487	-1492.651	-1520.737	-1528.361	-1529.21	-1529.21	-1529.21	-1529.21	-1529.21	-1529.21	-1529.21	-1529.21	-1529.21	-1529.21	-1529.21
1833	Northern Africa and Western Asia	-160.184	-79.49	-310.578	-803.434	-1064.135	-509.176	677.64	-476.782	-157.693	-2459.648	150.947	4010.244	1950.2	225.21	787.369	-384.365	-936.025	-985.385	-1000.365	-999.857	-999.857	-999.857	-999.857	-999.857	-999.857	-999.857	-999.857	-999.857	-999.857	-999.857
921	Central and Southern Asia	525.786	809.851	577.018	82.258	-1174.222	-764.323	-1359.446	-1645.814	-2680.612	-4778.138	-5175.898	-9818.745	-8370.001	-6769.678	-5491.529	-5837.634	-5893.643	-5893.705	-5881.021	-5863.412	-5863.412	-5863.412	-5863.412	-5863.412	-5863.412	-5863.412	-5863.412	-5863.412	-5863.412	-5863.412
1832	Eastern and South-Eastern Asia	205.036	537.082	-923.43	745.981	-277.213	-824.199	148.168	165.059	-2228.331	-317.305	-4762.081	-5633.911	-2311.105	-2850.444	-2485.245	-2261.04	-2049.417	-2049.579	-2042.343	-2032.244	-2032.244	-2032.244	-2032.244	-2032.244	-2032.244	-2032.244	-2032.244	-2032.244	-2032.244	-2032.244
1830	Latin America and the Caribbean	-473.777	-1138.508	-1623.833	-2194.35	-2673.16	-3514.969	-3503.662	-3956.103	-4303.645	-4668.383	-5330.704	-3793.49	-2830.384	-2607.495	-1017.729	-709.569	-1029.858	-1034.042	-1000.302	-978.947	-978.947	-978.947	-978.947	-978.947	-978.947	-978.947	-978.947	-978.947	-978.947	-978.947
927	Australia/New Zealand	458.419	438.432	438.734	803.569	336.209	160.95	450.664	644.791	469.094	431.003	723.911	1273.215	1080.27	865.632	739.345	761.384	790.983	790.777	791.954	793.629	793.629	793.629	793.629	793.629	793.629	793.629	793.629	793.629	793.629	793.629
1835	Oceania (excluding Australia and New Zealand)	-38.896	-26.227	-0.929	-16.769	-48.965	-69.371	-33.722	-97.84	-103.485	-122.215	-215.597	-87.255	-123.338	-84.504	-57.952	-45.789	-44.511	-43.74	-43.167	-42.727	-42.727	-42.727	-42.727	-42.727	-42.727	-42.727	-42.727	-42.727	-42.727	-42.727
1829	Europe and Northern America	-329.81	-196.387	2222.752	1828.227	5474.353	6217.829	5333.861	6631.187	10119.347	12801.986	15564.061	15394.334	13089.04	12787.054	9656.059	10119.501	10655.123	10736.41	10703.606	10652.768	10652.768	10652.768	10652.768	10652.768	10652.768	10652.768	10652.768	10652.768	10652.768	10652.768
903	Africa	-609.683	-736.133	-1036.68	-1312.622	-1924.009	-1600.442	-2078.952	-1784.98	-1368.269	-2464.494	-2508.171	-3687.038	-4261.285	-2315.121	-2632.41	-2144.578	-1944.742	-1972.828	-1980.452	-1981.301	-1981.301	-1981.301	-1981.301	-1981.301	-1981.301	-1981.301	-1981.301	-1981.301	-1981.301	-1981.301
935	Asia	993.748	1658.823	-0.045	891.945	-1164.43	-1193.998	-168.189	-1437.056	-4813.042	-5977.897	-8233.5	-9099.767	-6954.301	-8645.562	-6687.314	-7980.948	-8426.994	-8476.578	-8471.638	-8443.422	-8443.422	-8443.422	-8443.422	-8443.422	-8443.422	-8443.422	-8443.422	-8443.422	-8443.422	-8443.422
908	Europe	-1751.713	-2885.098	209.261	-340.533	1827.084	2029.004	1578.086	2406.244	4968.898	3161.212	9178.958	8643.21	6890.321	6805.054	3870.234	3996.203	4157.968	4161.382	4069.314	3978.872	3978.872	3978.872	3978.872	3978.872	3978.872	3978.872	3978.872	3978.872	3978.872	3978.872
904	Latin America and the Caribbean	-473.777	-1138.508	-1623.833	-2194.35	-2673.16	-3514.969	-3503.662	-3956.103	-4303.645	-4668.383	-5330.704	-3793.49	-2830.384	-2607.495	-1017.729	-709.569	-1029.858	-1034.042	-1000.302	-978.947	-978.947	-978.947	-978.947	-978.947	-978.947	-978.947	-978.947	-978.947	-978.947	-978.947
905	Northern America	1421.903	2688.711	2013.491	2168.76	3647.269	4188.825	3755.775	4224.943	5150.449	9640.774	6385.103	6751.124	6198.719	5982	5785.825	6123.298	6497.155	6575.028	6634.292	6673.896	6673.896	6673.896	6673.896	6673.896	6673.896	6673.896	6673.896	6673.896	6673.896	6673.896
909	Oceania	419.523	412.205	437.805	786.8	287.244	91.579	416.942	546.951	365.609	308.788	508.314	1185.96	956.932	781.128	681.393	715.595	746.472	747.037	748.787	750.902	750.902	750.902	750.902	750.902	750.902	750.902	750.902	750.902	750.902	750.902
901	More developed regions	128.609	142.046	2510.135	3454.499	6525.499	6583.785	5834.527	6977.639	10634.727	13132.656	16452.171	16945.129	14527.443	14010.486	10718.546	11114.017	11689.102	11770.115	11738.876	11690.275	11690.275	11690.275	11690.275	11690.275	11690.275	11690.275	11690.275	11690.275	11690.275	11690.275
902	Less developed regions	-128.608	-142.046	-2510.136	-3454.499	-6525.501	-6583.786	-5834.527	-6977.64	-10634.727	-13132.656	-16452.171	-16945.13	-14527.441	-14010.482	-10718.547	-11114.016	-11689.101	-11770.116	-11738.875	-11690.275	-11690.275	-11690.275	-11690.275	-11690.275	-11690.275	-11690.275	-11690.275	-11690.275	-11690.275	-11690.275
941	Least developed countries	-500.341	-646.494	-1005.998	-1203.458	-4400.298	-3896.29	-6102.887	-3733.802	870.947	-4295.293	-4393.465	-9562.19	-7625.02	-4861.815	-4059.689	-4226.854	-4305.416	-4190.01	-4174.573	-4157.187	-4157.187	-4157.187	-4157.187	-4157.187	-4157.187	-4157.187	-4157.187	-4157.187	-4157.187	-4157.187
934	Other less developed countries	371.733	504.448	-1504.138	-2251.041	-2125.203	-2687.496	268.36	-3243.838	-11505.674	-8837.363	-12058.706	-7382.94	-6902.421	-9148.667	-6658.858	-6887.162	-7383.685	-7580.106	-7564.302	-7533.088	-7533.088	-7533.088	-7533.088	-7533.088	-7533.088	-7533.088	-7533.088	-7533.088	-7533.088	-7533.088
948	Less developed regions, excluding China	-84.446	-207.733	-1626.966	-3751.178	-5458.021	-6707.235	-5759.277	-6880.717	-9883.075	-12903.205	-14802.674	-15148.875	-13262.473	-12590.032	-9127.226	-9680.715	-10375.109	-10456.108	-10428.469	-10384.879	-10384.879	-10384.879	-10384.879	-10384.879	-10384.879	-10384.879	-10384.879	-10384.879	-10384.879	-10384.879
1636	Land-locked Developing Countries (LLDC)	489.194	784.908	543.291	379.138	-1174.739	-5087.973	-4957.305	-3006.066	-3035.394	-3993.42	-2263.736	-3881.623	-3803.02	-1811.839	-1600.73	-1697.645	-1814.168	-1759.174	-1753.933	-1749.026	-1749.026	-1749.026	-1749.026	-1749.026	-1749.026	-1749.026	-1749.026	-1749.026	-1749.026	-1749.026
1637	Small Island Developing States (SIDS)	-504.045	-541.831	-762.95	-917.931	-832.944	-869.917	-840.713	-793.493	-515.501	-619.766	-843.89	8.991	-531.273	-694.605	-294.813	-271.317	-351.298	-309.214	-276.475	-258.526	-258.526	-258.526	-258.526	-258.526	-258.526	-258.526	-258.526	-258.526	-258.526	-258.526
1503	High-income countries	1215.432	2418.273	4095.797	4398.284	7428.676	7159.871	6897.908	8702.303	10710.205	13921.107	18568.371	23278.467	18325.941	16243.037	11505.958	11970.547	12281.551	12154.411	12075.936	12006.363	12006.363	12006.363	12006.363	12006.363	12006.363	12006.363	12006.363	12006.363	12006.363	12006.363
1517	Middle-income countries	-203.824	-1951.782	-3587.178	-4201.074	-5792.291	-4009.32	-1381.13	-5162.043	-11713.489	-10366.425	-16539.799	-19335.353	-8057.995	-11759.743	-13167.588	-11460.051	-10064.374	-9778.821	-9712.812	-9656.225	-9656.225	-9656.225	-9656.225	-9656.225	-9656.225	-9656.225	-9656.225	-9656.225	-9656.225	-9656.225
1502	Upper-middle-income countries	-566.222	-1514.093	-3631.21	-2329.679	-3769.547	-2901.132	-683.414	-2945.797	-5842.664	-3805.068	-3962.417	-3997.476	3312.743	-1471.945	-4394.121	-3326.476	-2348.969	-2091.982	-2049.748	-2020.621	-2020.621	-2020.621	-2020.621	-2020.621	-2020.621	-2020.621	-2020.621	-2020.621	-2020.621	-2020.621
1501	Lower-middle-income countries	362.398	-437.689	44.032	-1871.395	-2022.744	-1108.188	-697.716	-2216.246	-5870.825	-6561.357	-12577.382	-15337.877	-11370.738	-10287.798	-8773.467	-8133.575	-7715.405	-7686.839	-7663.064	-7635.604	-7635.604	-7635.604	-7635.604	-7635.604	-7635.604	-7635.604	-7635.604	-7635.604	-7635.604	-7635.604
