country_code	name	2020-2025	2025-2030	2030-2035	2035-2040	2040-2045	2045-2050	2050-2055	2055-2060	2060-2065	2065-2070	2070-2075	2075-2080	2080-2085	2085-2090	2090-2095	2095-2100
900	World	2.3267	2.2501	2.1913	2.1329	2.0865	2.0462	2.011	1.9733	1.9398	1.9068	1.8794	1.8584	1.8303	1.8055	1.7839	1.7617
947	Sub-Saharan Africa	4.2868	3.9243	3.5951	3.3079	3.0705	2.8645	2.7004	2.5479	2.4239	2.3115	2.2178	2.1401	2.0577	1.9893	1.9287	1.8671
1833	Northern Africa and Western Asia	2.6452	2.47	2.3353	2.2265	2.1286	2.0411	1.9727	1.9136	1.864	1.8149	1.7753	1.7431	1.7103	1.6803	1.6669	1.6481
921	Central and Southern Asia	2.091	1.9229	1.7998	1.7017	1.6355	1.5753	1.5366	1.509	1.4905	1.4667	1.4563	1.462	1.4655	1.475	1.4807	1.4825
1832	Eastern and South-Eastern Asia	1.7197	1.683	1.6698	1.6495	1.638	1.6228	1.6045	1.5964	1.5967	1.5923	1.5899	1.593	1.5876	1.5899	1.5926	1.5952
1830	Latin America and the Caribbean	1.8354	1.7192	1.6415	1.5803	1.5416	1.5235	1.512	1.5107	1.5144	1.5185	1.5269	1.5353	1.5441	1.5563	1.5623	1.5671
927	Australia/New Zealand	1.6146	1.5032	1.4327	1.3801	1.3541	1.3569	1.3668	1.3823	1.4034	1.4095	1.4262	1.4392	1.4541	1.4654	1.4724	1.4863
1835	Oceania (excluding Australia and New Zealand)	3.0478	2.8057	2.6159	2.4542	2.315	2.2138	2.1045	2.0093	1.9299	1.8704	1.8111	1.7663	1.7129	1.6735	1.6399	1.6137
1829	Europe and Northern America	1.6041	1.6012	1.6132	1.6175	1.6173	1.6238	1.6314	1.6374	1.6373	1.6385	1.6406	1.6402	1.6444	1.6435	1.6485	1.6424
903	Africa	4.0509	3.736	3.4486	3.1971	2.9823	2.7979	2.6429	2.5075	2.3898	2.2883	2.2012	2.1246	2.0434	1.9792	1.9209	1.8613
935	Asia	1.9689	1.8746	1.8134	1.7459	1.7025	1.6649	1.6453	1.6213	1.6058	1.5909	1.5794	1.5813	1.5779	1.5791	1.583	1.5822
908	Europe	1.5542	1.5611	1.5813	1.5972	1.604	1.6108	1.6195	1.6248	1.6315	1.6339	1.6387	1.644	1.6458	1.6478	1.6492	1.651
904	Latin America and the Caribbean	1.8354	1.7192	1.6415	1.5803	1.5416	1.5235	1.512	1.5107	1.5144	1.5185	1.5269	1.5353	1.5441	1.5563	1.5623	1.5671
905	Northern America	1.6377	1.6073	1.5887	1.5746	1.5684	1.5676	1.5652	1.5689	1.5681	1.5664	1.567	1.5625	1.5665	1.5668	1.5659	1.5617
909	Oceania	2.1452	2.031	1.9458	1.8705	1.8227	1.7889	1.7703	1.7501	1.7223	1.6966	1.6749	1.66	1.6389	1.6228	1.6106	1.6029
901	More developed regions	1.5855	1.5835	1.5999	1.6055	1.6092	1.6172	1.6245	1.6316	1.6329	1.6334	1.6373	1.6392	1.643	1.643	1.6455	1.6421
902	Less developed regions	2.4249	2.3301	2.2609	2.1907	2.1319	2.0835	2.043	2.0012	1.9644	1.9259	1.8949	1.8731	1.8404	1.8138	1.7887	1.7652
941	Least developed countries	3.6384	3.3593	3.129	2.9333	2.7733	2.6234	2.5036	2.3928	2.3016	2.2182	2.1453	2.0801	2.013	1.9569	1.898	1.8514
934	Less developed regions, excluding least developed countries	2.1592	2.0706	2.0102	1.9503	1.9006	1.8649	1.837	1.8098	1.7811	1.7573	1.7339	1.7229	1.7067	1.6939	1.6791	1.671
948	Less developed regions, excluding China	2.6129	2.481	2.3757	2.2846	2.2105	2.1462	2.0962	2.0464	2.0019	1.9556	1.9211	1.8941	1.8574	1.8259	1.8006	1.7721
1636	Land-locked Developing Countries (LLDC)	3.56	3.2372	2.9858	2.7813	2.6213	2.4677	2.3478	2.2307	2.1469	2.0592	1.9885	1.9232	1.8706	1.8231	1.7735	1.7385
1637	Small Island Developing States (SIDS)	2.2547	2.139	2.061	1.9891	1.932	1.8885	1.8474	1.8152	1.7857	1.7569	1.7315	1.7117	1.6911	1.6673	1.6539	1.6397
1503	High-income countries	1.6095	1.5956	1.5995	1.5989	1.6014	1.6063	1.6129	1.6204	1.6208	1.6232	1.6251	1.6292	1.6319	1.629	1.6347	1.6326
1517	Middle-income countries	2.1827	2.0955	2.0332	1.9757	1.9319	1.8988	1.8732	1.8466	1.8211	1.7981	1.7793	1.7697	1.7546	1.7384	1.7252	1.7124
1502	Upper-middle-income countries	1.7821	1.7267	1.7001	1.6754	1.6648	1.6606	1.6508	1.6454	1.6401	1.6363	1.6334	1.6329	1.632	1.6304	1.6277	1.6285
1501	Lower-middle-income countries	2.4546	2.3156	2.2107	2.1242	2.0522	1.9958	1.9508	1.9065	1.8753	1.8407	1.8124	1.7964	1.7765	1.7554	1.7339	1.7123
1500	Low-income countries	4.0511	3.6743	3.3645	3.0988	2.8852	2.6998	2.5473	2.4133	2.3033	2.2037	2.1196	2.0437	1.9737	1.9155	1.8536	1.8051
1518	No income group available	2.254	2.137	2.0399	1.9532	1.8771	1.8263	1.7809	1.7462	1.7182	1.6935	1.6737	1.6567	1.6418	1.6357	1.6334	1.6277
