country_code	name	2025	2030	2035	2040	2045	2050	2055	2060	2065	2070	2075	2080	2085	2090	2095	2100
900	World	8223594.6091	8636036.3157	9029470.6517	9397034.2993	9744900.4912	10078472.7751	10392605.6455	10690530.1052	10976548.4488	11243324.1728	11500353.7836	11743044.2179	11988909.7851	12227713.2959	12449028.568	12663023.7989
947	Sub-Saharan Africa	1248507.5696	1418193.8463	1603220.2963	1801311.0203	2011550.8441	2232625.3542	2466032.7021	2707322.3686	2953240.2619	3211138.6109	3471266.2041	3731698.81	3995991.7088	4260417.4474	4517474.8411	4779540.6705
1833	Northern Africa and Western Asia	573062.271	618033.8777	661826.2221	706116.8593	750094.5795	793861.8747	835265.93	876353.8614	915379.7062	953658.7835	991368.9369	1027566.4081	1063337.2911	1098592.3644	1133358.2008	1165369.2676
921	Central and Southern Asia	2149928.2513	2278651.6681	2398243.8785	2507839.9733	2606962.3966	2697355.736	2784513.3454	2862689.1062	2932857.4388	2991764.1478	3040356.1951	3081972.6819	3123654.1806	3163247.5583	3202158.6828	3224609.188
1832	Eastern and South-Eastern Asia	2409596.4858	2458078.4946	2491552.1054	2511331.1247	2518459.9179	2516282.6486	2503428.521	2485990.2461	2463756.6253	2439919.2876	2415772.9103	2393966.4714	2372150.9635	2356581.5962	2344302.3449	2334768.5419
927	Australia/New Zealand	32185.8961	33983.5864	35716.9448	37379.8986	39036.4051	40692.6539	42406.2873	44132.1157	45873.8454	47665.1317	49497.0818	51289.7266	53210.1806	55189.2971	57181.9184	59351.2911
1835	Oceania (excluding Australia and New Zealand)	13612.5909	14948.3284	16366.2903	17815.8212	19307.5292	20875.3731	22510.5514	24218.8211	25940.8296	27788.5592	29669.3921	31562.5347	33557.5767	35476.5769	37516.7632	39638.8402
1829	Europe and Northern America	1129805.3836	1140691.7927	1149755.9538	1156876.8662	1161996.5964	1165508.713	1168689.8665	1171952.6312	1175628.0029	1181297.2745	1188909.6351	1197544.2355	1208337.4233	1221168.2421	1235429.5239	1249260.9405
903	Africa	1517517.3451	1709203.0149	1916097.2407	2137584.7062	2371108.8377	2615282.5228	2869311.32	3131482.0486	3398062.8892	3673657.0058	3950312.7574	4229547.0111	4503483.7857	4780692.6655	5059060.199	5329548.8826
935	Asia	4854317.2685	5043162.9445	5208510.9827	5346039.5054	5456097.7723	5550276.8053	5625316.7616	5687854.0207	5732989.8465	5763651.4784	5784298.3543	5797585.9037	5799626.7574	5816124.5737	5819944.6345	5825893.8336
908	Europe	748259.4577	746412.5208	742804.082	738312.8481	732948.8363	726784.4131	719981.1764	712599.8995	705233.3992	699350.1687	694893.8139	692205.1428	691613.5029	692858.3007	694880.0877	696889.244
904	Latin America and the Caribbean	686906.8244	717200.7086	743356.6673	766273.3036	785236.8414	801106.1265	814638.8129	824900.2826	833335.6833	837895.0324	839871.0909	839005.1313	836504.138	833779.5113	829618.3248	825407.689
905	Northern America	382704.7527	396857.3819	410929.3718	423898.0269	435794.4942	447226.3158	458557.1876	471327.5097	484989.9329	499307.2177	513052.7306	527620.1728	540855.4031	555418.9913	570343.9068	585648.6041
909	Oceania	45695.8873	48713.6891	51703.8718	54672.4375	57620.4956	60632.5672	63717.411	66711.3573	69793.9432	72965.7631	76120.1773	79285.3746	82388.474	85742.4002	89034.9566	92501.4577
901	More developed regions	1285916.1862	1295309.8268	1302441.5189	1307186.066	1310148.106	1311483.9551	1312391.6496	1313405.0312	1314938.2797	1317955.8176	1322604.6261	1330194.4115	1340087.5645	1351572.6664	1364577.2172	1380190.2531
902	Less developed regions	6940105.3669	7346297.7672	7733744.1097	8103040.6763	8452913.4555	8784778.7092	9109136.9566	9408366.1563	9696672.4379	9963836.2994	10217477.291	10458112.9669	10713420.5112	10936716.9715	11162913.5076	11378996.7398
941	Least developed countries	1189358.0635	1330664.6145	1480695.436	1638288.9597	1800114.1726	1968823.8714	2144557.8629	2322341.715	2503858.0362	2684661.414	2866713.6498	3048529.7574	3231783.3397	3406857.3339	3584385.1023	3755453.7903
934	Less developed regions, excluding least developed countries	5753417.2655	6022014.9753	6267375.3767	6485466.6957	6679910.2781	6855403.5116	7015503.713	7162279.8807	7291391.2611	7402010.9668	7497341.3097	7592282.7274	7678157.677	7772948.3078	7869763.5862	7953929.2806
948	Less developed regions, excluding China	5444574.0866	5837616.3257	6223572.72	6599762.2515	6965903.0757	7325364.5757	7675812.5869	8011921.0635	8331537.0108	8635276.7933	8913282.8329	9183847.0234	9455362.1935	9715951.5544	9966627.5171	10202279.1897
1636	Land-locked Developing Countries (LLDC)	599226.0907	668838.4306	742168.5995	819131.832	898480.3383	979015.0312	1061896.6775	1144415.6748	1228535.8397	1311695.3296	1393126.4426	1474050.6436	1551390.6596	1627789.557	1701139.5591	1774327.9168
1637	Small Island Developing States (SIDS)	75897.3879	79534.6001	82880.2657	85977.0062	88807.7352	91419.5023	93848.79	96018.3554	98068.0504	99942.3474	101704.3246	103285.3591	104789.9216	106091.9376	107335.2621	108504.9738
1503	High-income countries	1287260.1049	1308170.4646	1326320.928	1339853.6357	1349902.3379	1356751.8236	1362306.5068	1367306.4929	1372715.8201	1378993.7483	1385299.4064	1393213.099	1402365.326	1414135.5853	1427051.8348	1440317.462
1517	Middle-income countries	6050099.5119	6328924.0017	6586238.4595	6818054.6015	7029335.5058	7221263.2098	7403215.0635	7563218.4761	7707677.4258	7838360.009	7954066.2895	8063208.7213	8168485.9733	8282740.0215	8385725.0638	8493173.887
1502	Upper-middle-income countries	2733056.0911	2795450.6484	2841830.1139	2874418.4682	2896933.9509	2907743.7352	2909271.2688	2900160.7732	2884937.7591	2865931.3324	2847195.2543	2826660.0951	2808210.035	2791007.4236	2776916.3268	2769018.8853
1501	Lower-middle-income countries	3323927.3278	3547732.0055	3765811.5665	3974572.1925	4175564.7608	4370191.9262	4557927.43	4739309.1442	4906247.9897	5065822.8299	5218108.3374	5367128.4917	5511411.0257	5656531.7614	5796293.5032	5927660.8319
