country_code	name	2020-2025	2025-2030	2030-2035	2035-2040	2040-2045	2045-2050	2050-2055	2055-2060	2060-2065	2065-2070	2070-2075	2075-2080	2080-2085	2085-2090	2090-2095	2095-2100
900	World	75.2854	75.9556	76.6194	77.2206	77.7772	78.3047	78.7996	79.2376	79.6743	80.1003	80.5141	80.9112	81.3007	81.7179	82.103	82.5004
947	Sub-Saharan Africa	63.5195	64.8099	66.0205	67.1123	68.1269	69.0701	69.9486	70.7809	71.5378	72.2347	72.8956	73.5238	74.1221	74.7044	75.2528	75.7978
1833	Northern Africa and Western Asia	76.2716	76.9541	77.6417	78.2328	78.8216	79.3614	79.8694	80.3463	80.7763	81.2234	81.6204	82.0493	82.4792	82.9001	83.3012	83.7166
921	Central and Southern Asia	71.2629	71.9033	72.6268	73.3617	74.024	74.6973	75.2817	75.8002	76.3895	76.9012	77.4461	77.9955	78.461	78.9398	79.442	79.8894
1832	Eastern and South-Eastern Asia	79.1552	79.4716	79.8693	80.2929	80.7334	81.1637	81.5799	82.0242	82.4798	82.9671	83.4191	83.8559	84.3094	84.7934	85.2273	85.6721
1830	Latin America and the Caribbean	78.8669	79.5002	80.1982	80.8	81.3947	81.9644	82.5095	83.0417	83.567	84.0711	84.5744	85.092	85.6099	86.0952	86.5891	87.0687
927	Australia/New Zealand	84.8407	85.1063	85.4582	85.8261	86.1796	86.5516	87.012	87.4157	87.8351	88.2874	88.7317	89.1841	89.6132	90.0407	90.5089	90.8521
1835	Oceania (excluding Australia and New Zealand)	68.0138	68.3891	68.9554	69.4728	69.8898	70.3312	70.748	71.144	71.5232	71.9325	72.3924	72.7471	73.1523	73.6068	74.0417	74.435
1829	Europe and Northern America	81.7726	82.2726	82.8781	83.379	83.8902	84.401	84.8665	85.3241	85.8012	86.2658	86.7679	87.2424	87.7172	88.1728	88.6202	89.0716
903	Africa	65.5743	66.7714	67.9089	68.9346	69.8865	70.7582	71.5771	72.313	73.0092	73.6384	74.2054	74.7673	75.3086	75.8274	76.3371	76.862
935	Asia	75.9281	76.5539	77.172	77.741	78.2963	78.8126	79.3063	79.747	80.2108	80.6448	81.0783	81.5279	81.9907	82.4812	82.959	83.45
908	Europe	82.0013	82.5163	83.0727	83.5971	84.1243	84.6608	85.1704	85.6715	86.1576	86.6848	87.2214	87.79	88.3144	88.7927	89.2493	89.7351
904	Latin America and the Caribbean	78.8669	79.5002	80.1982	80.8	81.3947	81.9644	82.5095	83.0417	83.567	84.0711	84.5744	85.092	85.6099	86.0952	86.5891	87.0687
905	Northern America	81.0823	81.2741	81.9026	82.2887	82.6576	83.0743	83.4481	83.805	84.2033	84.6525	85.0319	85.3801	85.74	86.1942	86.6101	87.0295
909	Oceania	80.5457	80.8886	81.2418	81.5963	81.9278	82.2553	82.6106	82.926	83.2705	83.6127	83.9511	84.3378	84.6837	85.0979	85.5388	85.873
901	More developed regions	82.5159	83.0096	83.5995	84.0867	84.5915	85.0795	85.5482	85.9957	86.4713	86.9369	87.4215	87.901	88.3732	88.8217	89.2645	89.7239
902	Less developed regions	73.5316	74.2981	75.051	75.7524	76.391	76.988	77.5398	78.0358	78.5025	78.9708	79.3939	79.8107	80.2001	80.6293	81.0119	81.4014
941	Least developed countries	67.6875	68.8884	69.9901	70.9861	71.9348	72.8144	73.6018	74.322	74.9897	75.5761	76.1188	76.6501	77.1593	77.6274	78.0895	78.5524
934	Less developed regions, excluding least developed countries	74.6654	75.3234	75.9843	76.611	77.1548	77.7066	78.2136	78.646	79.1073	79.5583	79.9839	80.3832	80.783	81.2011	81.5952	81.9801
948	Less developed regions, excluding China	71.9502	72.7933	73.6437	74.414	75.1165	75.807	76.3798	76.9201	77.4348	77.9399	78.4105	78.8496	79.2704	79.6895	80.1066	80.5483
1636	Land-locked Developing Countries (LLDC)	68.4811	69.6014	70.632	71.58	72.4379	73.2203	73.8993	74.5651	75.1839	75.7503	76.2736	76.7903	77.2853	77.7985	78.2547	78.7099
1637	Small Island Developing States (SIDS)	74.9643	75.6667	76.3649	76.9429	77.4362	77.8876	78.2792	78.6331	78.9757	79.3119	79.6544	79.9997	80.3297	80.6315	80.9607	81.2847
1503	High-income countries	83.6873	84.1464	84.7278	85.1861	85.6355	86.0849	86.5276	86.961	87.3855	87.8381	88.2633	88.7011	89.1421	89.5759	90.0141	90.4701
1517	Middle-income countries	74.2936	74.9645	75.64	76.2792	76.8592	77.417	77.9576	78.4145	78.8916	79.3414	79.7666	80.1764	80.5788	80.9909	81.3802	81.7832
1502	Upper-middle-income countries	78.6032	79.0615	79.5813	80.1077	80.6434	81.1551	81.7053	82.2078	82.7269	83.2561	83.7488	84.2641	84.7507	85.2208	85.6951	86.1433
1501	Lower-middle-income countries	70.5082	71.2322	71.9707	72.6828	73.3712	74.009	74.6335	75.1448	75.7008	76.2197	76.7063	77.1708	77.6309	78.053	78.4631	78.8785
1500	Low-income countries	66.611	67.9077	69.072	70.1043	71.0383	71.8926	72.7064	73.4198	74.0882	74.7057	75.2902	75.8643	76.4006	76.911	77.4109	77.9322
1518	No income group available	82.989	83.4106	83.8456	84.2004	84.5291	84.8633	85.1463	85.427	85.7397	86.1193	86.494	86.9796	87.5104	87.9874	88.4296	88.8471
910	Eastern Africa	67.4096	68.6585	69.8225	70.8491	71.7933	72.6793	73.4963	74.2377	74.9857	75.6553	76.2789	76.9005	77.5343	78.1071	78.6575	79.2206
108	Burundi	62.871	63.6954	64.5568	65.3597	66.1427	66.8744	67.5651	68.2188	68.8514	69.459	70.0282	70.5795	71.1396	71.6373	72.1743	72.6721
174	Comoros	65.3336	65.7471	66.1953	66.6879	67.183	67.6522	68.1339	68.5904	69.0198	69.4828	69.9373	70.3529	70.778	71.189	71.608	72.0175
262	Djibouti	68.5551	69.0761	69.6274	70.1904	70.7424	71.2733	71.7875	72.2962	72.8088	73.3061	73.8039	74.2682	74.7453	75.2089	75.6595	76.132
232	Eritrea	68.0634	68.8088	69.5159	70.1817	70.81	71.4285	72.0037	72.5709	73.119	73.6757	74.1733	74.6761	75.179	75.6607	76.1402	76.6197
231	Ethiopia	68.0922	68.9104	69.6945	70.414	71.1174	71.7781	72.3788	72.9673	73.5186	74.0616	74.6074	75.1489	75.6531	76.1308	76.6196	77.0999
404	Kenya	68.2555	68.7204	69.2476	69.764	70.2827	70.8049	71.3354	71.8558	72.3947	72.9114	73.4416	73.9625	74.4753	74.9888	75.4843	75.9907
450	Madagascar	68.3482	69.2569	70.1046	70.9235	71.6696	72.3625	72.9979	73.6197	74.2018	74.758	75.3232	75.8546	76.3557	76.8731	77.3605	77.8544
454	Malawi	67.0059	67.9916	68.9326	69.7611	70.5065	71.229	71.8855	72.5238	73.1278	73.6922	74.2541	74.797	75.3099	75.827	76.3484	76.8144
480	Mauritius	77.7945	77.9912	78.2822	78.6105	78.9558	79.3182	79.7126	80.1123	80.4946	80.8945	81.2926	81.7021	82.1059	82.5072	82.9015	83.3222
175	Mayotte	82.3369	82.6506	83.4283	83.8507	84.2791	84.709	85.1305	85.5576	85.9773	86.408	86.8256	87.2493	87.6697	88.0885	88.4887	88.8936
508	Mozambique	63.187	64.2175	65.2098	66.1355	66.9662	67.7201	68.4153	69.1043	69.7425	70.3557	70.9324	71.4745	72.0063	72.5306	73.0588	73.5742
