country_code	name	2020-2025	2025-2030	2030-2035	2035-2040	2040-2045	2045-2050	2050-2055	2055-2060	2060-2065	2065-2070	2070-2075	2075-2080	2080-2085	2085-2090	2090-2095	2095-2100
900	WORLD	2.6684	2.7769	2.8337	2.7838	2.7372	2.6952	2.6597	2.6254	2.5932	2.5603	2.5305	2.5047	2.4799	2.4576	2.437	2.4183
901	More developed regions	1.896	2.0662	2.1928	2.2089	2.2191	2.2298	2.2401	2.2481	2.2533	2.2578	2.2625	2.268	2.273	2.2756	2.2765	2.2779
902	Less developed regions	2.7743	2.8684	2.9135	2.852	2.796	2.747	2.706	2.6662	2.6292	2.5916	2.5578	2.5288	2.5013	2.4767	2.4537	2.4329
941	Least developed countries	3.9892	3.9091	3.8128	3.6432	3.4967	3.3624	3.2405	3.133	3.0396	2.957	2.8829	2.8153	2.7525	2.6954	2.6441	2.5979
934	Less developed regions, excluding least developed countries	2.5153	2.6211	2.6774	2.6254	2.5799	2.5449	2.5196	2.4936	2.469	2.4421	2.4191	2.402	2.3861	2.3726	2.3601	2.3492
948	Less developed regions, excluding China	2.9708	3.0251	3.0384	2.9566	2.8849	2.8238	2.7714	2.7217	2.6767	2.6324	2.5934	2.56	2.5286	2.5006	2.4745	2.4507
1636	Land-locked Developing Countries (LLDC)	3.9242	3.8078	3.6904	3.5118	3.3585	3.2161	3.0919	2.9837	2.8919	2.8097	2.7358	2.6725	2.6172	2.5669	2.5229	2.485
1637	Small Island Developing States (SIDS)	2.6179	2.6935	2.7359	2.6822	2.6356	2.5952	2.5589	2.5272	2.4985	2.4715	2.4424	2.4184	2.3954	2.3751	2.3579	2.3417
1503	High-income countries	1.9246	2.0836	2.2001	2.2087	2.2139	2.2226	2.2302	2.2372	2.2434	2.2484	2.2518	2.2555	2.2597	2.2615	2.2627	2.2652
1517	Middle-income countries	2.5388	2.6422	2.6968	2.6477	2.6071	2.5756	2.5518	2.526	2.5014	2.4754	2.4541	2.4377	2.4219	2.408	2.3945	2.3821
1502	Upper-middle-income countries	2.1161	2.2406	2.3265	2.3134	2.3067	2.3026	2.3004	2.2961	2.2908	2.2858	2.2824	2.281	2.2796	2.2779	2.277	2.2762
